epoch,train_loss,train_acc,train_f1,train_recall,train_precision,val_loss,val_acc,val_f1,val_recall,val_precision
119,0.00011004,0.9998,0.9997,0.9998,0.9998,0.1343,0.5984,0.5999,0.597,0.604
120,0.00011744,0.9996,0.9995,0.9996,0.9996,0.1362,0.5976,0.5989,0.5963,0.6023
121,0.00014334,0.9996,0.9995,0.9996,0.9996,0.1345,0.5965,0.5976,0.5946,0.6017
122,0.00011353,0.9997,0.9996,0.9997,0.9997,0.1357,0.5958,0.5969,0.594,0.601
123,0.00010587,0.9998,0.9997,0.9998,0.9998,0.1362,0.5951,0.5965,0.5937,0.6004
124,0.00013899,0.9997,0.9996,0.9996,0.9997,0.1336,0.5972,0.5985,0.5956,0.6026
125,0.00013757,0.9995,0.9994,0.9995,0.9995,0.1331,0.5971,0.5985,0.5956,0.6025
126,0.00012382,0.9997,0.9996,0.9997,0.9997,0.1321,0.5988,0.6006,0.5975,0.6049
127,0.00012999,0.9996,0.9994,0.9995,0.9996,0.1333,0.5959,0.5976,0.5944,0.6021
128,0.00012488,0.9997,0.9996,0.9997,0.9997,0.1319,0.5981,0.6,0.5966,0.6048
