Epoch,Loss,Accuracy,F1-Score,Recall,Precision,val_Loss,val_Accuracy,val_F1-Score,val_Recall,val_Precision
119,0.0026,0.9994,0.9993,0.9995,0.9994,0.0074,0.998,0.9976,0.998,0.998
120,0.0014,0.9997,0.9996,0.9997,0.9997,0.004,0.999,0.9989,0.9991,0.999
121,0.0012,0.9997,0.9996,0.9997,0.9996,0.007,0.9985,0.9981,0.9984,0.9983
122,0.0024,0.9995,0.9992,0.9993,0.9993,0.0283,0.994,0.992,0.9928,0.9928
123,0.0014,0.9996,0.9995,0.9996,0.9996,0.0322,0.9925,0.9904,0.992,0.9918
124,0.0034,0.9994,0.999,0.9991,0.9991,0.0803,0.9851,0.9802,0.9842,0.9828
125,0.0009,0.9998,0.9997,0.9997,0.9997,0.0034,0.9992,0.9991,0.9992,0.9992
126,0.0006,0.9999,0.9998,0.9998,0.9998,0.0037,0.9993,0.9992,0.9993,0.9993
127,0.0016,0.9996,0.9993,0.9994,0.9994,0.0058,0.9989,0.9987,0.9988,0.9988
128,0.001,0.9997,0.9997,0.9997,0.9997,0.0077,0.9983,0.9979,0.9981,0.9983
