,loss,accuracy,true_positives,true_negatives,false_positives,false_negatives,val_loss,val_accuracy,val_true_positives,val_true_negatives,val_false_positives,val_false_negatives,lr
34,3.420593738555908,0.09076866507530212,170.0,7096518.0,138.0,168798.0,3.2668001651763916,0.14381761848926544,19.0,1774109.0,13.0,42222.0,0.001
35,3.4139962196350098,0.09162681549787521,180.0,7096528.0,128.0,168788.0,3.25881290435791,0.1476527601480484,19.0,1774112.0,10.0,42222.0,0.001
36,3.415024518966675,0.09173334389925003,180.0,7096505.0,151.0,168788.0,3.3224551677703857,0.13157832622528076,20.0,1774113.0,9.0,42221.0,0.001
37,3.4184086322784424,0.08991643041372299,176.0,7096529.0,127.0,168792.0,3.2806625366210938,0.14076371490955353,12.0,1774108.0,14.0,42229.0,0.001
38,3.4139411449432373,0.09166232496500015,174.0,7096505.0,151.0,168794.0,3.2947728633880615,0.13034729659557343,21.0,1774110.0,12.0,42220.0,0.001
39,3.41353178024292,0.09163273870944977,159.0,7096509.0,147.0,168809.0,3.243558883666992,0.15506261587142944,17.0,1774110.0,12.0,42224.0,0.001
40,3.4155852794647217,0.09139008820056915,205.0,7096521.0,135.0,168763.0,3.27901291847229,0.14161597192287445,15.0,1774113.0,9.0,42226.0,0.001
41,3.40756893157959,0.0928518995642662,184.0,7096481.0,175.0,168784.0,3.3350114822387695,0.12173007428646088,21.0,1774113.0,9.0,42220.0,0.001
42,3.438662528991699,0.08647791296243668,168.0,7096521.0,135.0,168800.0,3.3278772830963135,0.11900760233402252,19.0,1774114.0,8.0,42222.0,0.001
43,3.4226324558258057,0.0887446179986,177.0,7096534.0,122.0,168791.0,3.290170431137085,0.13785184919834137,15.0,1774114.0,8.0,42226.0,0.001
44,3.4063775539398193,0.09173334389925003,159.0,7096544.0,112.0,168809.0,3.2460601329803467,0.15136952698230743,17.0,1774110.0,12.0,42224.0,0.0005
45,3.4046261310577393,0.09328985214233398,143.0,7096540.0,116.0,168825.0,3.255068063735962,0.14533273875713348,20.0,1774111.0,11.0,42221.0,0.0005
46,3.3928191661834717,0.09550920873880386,213.0,7096535.0,121.0,168755.0,3.226017475128174,0.16098104417324066,22.0,1774109.0,13.0,42219.0,0.0005
47,3.385511875152588,0.09800080209970474,226.0,7096512.0,144.0,168742.0,3.2662060260772705,0.14878909289836884,19.0,1774109.0,13.0,42222.0,0.0005
48,3.42394757270813,0.0872354507446289,150.0,7096591.0,65.0,168818.0,3.26623797416687,0.1429416984319687,17.0,1774113.0,9.0,42224.0,0.0005
49,3.4217658042907715,0.0876438170671463,152.0,7096590.0,66.0,168816.0,3.3008673191070557,0.13470324873924255,23.0,1774108.0,14.0,42218.0,0.0005
50,3.4186646938323975,0.08917664736509323,182.0,7096571.0,85.0,168786.0,3.261371612548828,0.14665846526622772,26.0,1774106.0,16.0,42215.0,0.0005
51,3.409741163253784,0.09173334389925003,171.0,7096580.0,76.0,168797.0,3.249267339706421,0.15028053522109985,21.0,1774107.0,15.0,42220.0,0.00025
52,3.4074695110321045,0.0916564092040062,152.0,7096579.0,77.0,168816.0,3.2514851093292236,0.1501384973526001,27.0,1774103.0,19.0,42214.0,0.00025
53,3.4098663330078125,0.09088703244924545,147.0,7096571.0,85.0,168821.0,3.255908727645874,0.14845766127109528,20.0,1774105.0,17.0,42221.0,0.00025
54,3.4068992137908936,0.09201150387525558,161.0,7096576.0,80.0,168807.0,3.2594656944274902,0.14649274945259094,22.0,1774107.0,15.0,42219.0,0.00025
